ip,time,request,status,size,referer,user_agent
66.249.67.197,18/Jul/2011 03:35:52,"""GET /robots.txt HTTP/1.1""",404,286.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.68.227,18/Jul/2011 03:35:52,"""GET / HTTP/1.1""",200,445.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
123.125.71.32,18/Jul/2011 04:51:01,"""GET / HTTP/1.1""",200,445.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
123.125.71.20,18/Jul/2011 04:51:15,"""GET /?C=D;O=A HTTP/1.1""",200,445.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
123.125.71.13,18/Jul/2011 04:51:21,"""GET /log/ HTTP/1.1""",200,516.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
123.125.71.12,18/Jul/2011 04:51:27,"""GET /?C=N;O=D HTTP/1.1""",200,443.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
123.125.71.35,18/Jul/2011 04:51:33,"""GET /?C=S;O=A HTTP/1.1""",200,446.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
123.125.71.33,18/Jul/2011 04:51:38,"""GET /?C=M;O=A HTTP/1.1""",200,446.0,"""-""","""Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"""
66.249.67.209,18/Jul/2011 05:13:51,"""GET /robots.txt HTTP/1.1""",404,306.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.67.225,18/Jul/2011 05:13:51,"""GET / HTTP/1.1""",200,465.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
24.148.0.215,18/Jul/2011 05:32:26,"""GET / HTTP/1.1""",200,51.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,18/Jul/2011 05:32:27,"""GET /favicon.ico HTTP/1.1""",404,285.0,"""-""","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.122 Safari/534.30"""
24.148.0.215,18/Jul/2011 05:33:00,"""GET /favicon.ico HTTP/1.1""",404,285.0,"""-""","""Mozilla/5.0 (compatible; Google Desktop/5.9.1005.12335; http://desktop.google.com/)"""
66.249.67.213,18/Jul/2011 19:36:08,"""GET /robots.txt HTTP/1.1""",404,289.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,18/Jul/2011 19:36:08,"""GET /icons/back.gif HTTP/1.1""",200,216.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,18/Jul/2011 20:17:30,"""GET /images/002441.jpg HTTP/1.1""",404,295.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,18/Jul/2011 20:39:09,"""GET /images/spacer.gif HTTP/1.1""",404,293.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,18/Jul/2011 21:03:12,"""GET /images/grey-corner-left-bottom.gif HTTP/1.1""",404,306.0,"""-""","""Googlebot-Image/1.0"""
125.89.75.100,18/Jul/2011 21:10:47,"""GET / HTTP/1.1""",200,60.0,"""-""","""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; MAXTHON 2.0)"""
66.249.67.213,18/Jul/2011 21:40:17,"""GET /images/spacer-black.gif HTTP/1.1""",404,299.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.213,18/Jul/2011 22:00:58,"""GET /icons/text.gif HTTP/1.1""",200,229.0,"""-""","""Googlebot-Image/1.0"""
174.252.164.228,18/Jul/2011 22:11:58,"""GET / HTTP/1.1""",200,51.0,"""-""","""Mozilla/5.0 (Linux; U; Android 2.2.1; en-us; SCH-I500 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"""
174.252.164.228,18/Jul/2011 22:11:59,"""GET /favicon.ico HTTP/1.1""",404,306.0,"""http://Nationalphilosophicalcounselingassociation.org/""","""Mozilla/5.0 (Linux; U; Android 2.2.1; en-us; SCH-I500 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"""
66.249.67.213,18/Jul/2011 22:21:40,"""GET /images/spacer-blue.gif HTTP/1.1""",404,297.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.232,18/Jul/2011 22:25:30,"""GET /robots.txt HTTP/1.1""",404,286.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.68.229,18/Jul/2011 23:03:03,"""GET /robots.txt HTTP/1.1""",404,309.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,18/Jul/2011 23:03:03,"""GET /images/spacer.gif HTTP/1.1""",404,313.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,18/Jul/2011 23:23:44,"""GET /images/002441.jpg HTTP/1.1""",404,315.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.183,18/Jul/2011 23:25:38,"""GET /log/ HTTP/1.1""",200,511.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.68.229,18/Jul/2011 23:44:25,"""GET /images/logo20110202.png HTTP/1.1""",404,318.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 00:05:06,"""GET /images/spacer-blue.gif HTTP/1.1""",404,317.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.138,19/Jul/2011 00:28:01,"""GET /log/error.log HTTP/1.1""",200,1868.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.68.136,19/Jul/2011 00:44:58,"""GET /log/access.log HTTP/1.1""",200,4844.0,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.68.229,19/Jul/2011 00:46:29,"""GET /icons/unknown.gif HTTP/1.1""",200,245.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.193,19/Jul/2011 02:20:14,"""GET /icons/blank.gif HTTP/1.1""",200,148.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.242,19/Jul/2011 03:16:29,"""GET /robots.txt HTTP/1.1""",404,306.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.242,19/Jul/2011 03:16:30,"""GET /icons/folder.gif HTTP/1.1""",200,225.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.179,19/Jul/2011 03:54:17,"""GET /icons/blank.gif HTTP/1.1""",200,148.0,"""-""","""Googlebot-Image/1.0"""
66.249.67.193,19/Jul/2011 04:31:29,"""GET /icons/folder.gif HTTP/1.1""",200,225.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 04:50:14,"""GET /robots.txt HTTP/1.1""",404,309.0,"""-""","""Googlebot-Image/1.0"""
66.249.68.229,19/Jul/2011 04:50:14,"""GET /images/grey-corner-left-bottom.gif HTTP/1.1""",404,325.0,"""-""","""Googlebot-Image/1.0"""
